CustomerID,Age,Gender,Country,SubscriptionType,MonthlySpend,ContractLength,TenureMonths,SupportTickets,LoginsPerMonth,FeatureUsageScore,Referral,Churn,MarketingSpend,DiscountApplied,AdSpend,Revenue
1.0,39.0,Male,US,Basic,14.842208884831503,12.0,10.0,1.0,36.0,,0.0,0.0,282.5197442475651,1.0,231.35317573718962,223.01758935778113
2.0,33.0,Male,US,Standard,67.18344497206193,12.0,32.0,2.0,10.0,23.373293468231303,0.0,1.0,,0.0,145.9444174323564,808.7408871688469
,41.0,Male,Canada,Basic,26.983479809507482,1.0,25.0,2.0,33.0,44.784683529209055,0.0,,193.98344358064182,0.0,147.7522581087334,204.55633359978341
4.0,50.0,,Germany,Standard,,12.0,28.0,1.0,26.0,45.907757287457905,0.0,1.0,209.6434602701876,1.0,167.3706804847789,263.3132063234365
5.0,32.0,Female,US,,14.72893084052062,,29.0,1.0,44.0,89.60423567896906,0.0,0.0,190.05292316689548,0.0,135.2468821665237,270.9128049331653
6.0,32.0,Male,India,Basic,56.21467361348945,12.0,51.0,3.0,27.0,66.80078034004367,0.0,1.0,229.21513326767618,0.0,182.10260034958714,855.0920079326083
7.0,50.0,Male,India,Basic,20.553268167994222,12.0,35.0,2.0,20.0,63.05777620037966,1.0,0.0,197.95944672583582,0.0,174.5623076640256,210.73170033517553
8.0,42.0,,India,Premium,46.3332454776954,12.0,47.0,0.0,24.0,26.185300277981206,0.0,0.0,201.07630787205952,1.0,159.13093629373844,392.9421610320647
9.0,30.0,Male,US,Basic,11.504068292523083,6.0,57.0,2.0,24.0,34.10170099862021,1.0,0.0,169.69693075970852,0.0,130.38618577572294,140.26080338776714
10.0,49.0,Female,US,Basic,29.763013639779906,,32.0,1.0,27.0,,0.0,1.0,82.3439590938797,0.0,75.71244044204457,324.94737701114815
11.0,30.0,Female,UK,Premium,35.89718240628602,12.0,46.0,2.0,16.0,56.610478314483395,1.0,0.0,215.1306825385244,1.0,174.41518499105274,357.4350951847925
12.0,30.0,Male,Germany,Standard,26.618175669686373,,36.0,0.0,9.0,18.01784463209287,0.0,1.0,189.00860077383064,0.0,144.1830713932466,432.1279240258703
13.0,37.0,Female,Germany,Standard,11.02722355198584,24.0,7.0,2.0,29.0,72.63927072512234,,1.0,228.95662341881996,0.0,175.11149870365853,98.59967414612393
14.0,18.0,Female,US,Premium,30.953359153358306,6.0,10.0,2.0,10.0,6.422977627427084,0.0,0.0,233.6804426010668,1.0,187.06323078497948,257.9238856473287
15.0,17.0,Male,Germany,Basic,59.02918384012554,1.0,46.0,3.0,29.0,89.34975454105508,0.0,0.0,,0.0,139.93386150935376,538.9680189655322
16.0,29.0,Male,US,Basic,167.48577477980857,1.0,34.0,,7.0,54.61257806082539,0.0,1.0,289.6190698086808,1.0,239.05416772628556,1917.8581530343258
17.0,24.0,Female,India,Standard,77.91861706218846,24.0,33.0,2.0,31.0,98.04738636021104,1.0,1.0,278.0357522465896,0.0,214.69447986099934,903.8549343334627
18.0,38.0,Female,Canada,,8.805274721281615,6.0,26.0,2.0,9.0,27.64084925930035,0.0,,209.7706112888912,0.0,177.8992627623733,-50.79994751085468
19.0,25.0,Female,India,Basic,15.920938760468356,6.0,48.0,0.0,24.0,11.039354254327238,0.0,0.0,250.21808934789033,0.0,182.9940524327879,293.5720007760759
20.0,20.0,Male,US,Basic,4.105202542839467,6.0,48.0,2.0,13.0,48.98993612404916,0.0,0.0,219.96681776143382,0.0,166.64330296495584,100.71540147910981
21.0,49.0,Female,US,Basic,7.288847460577336,1.0,13.0,1.0,29.0,54.765306969743854,0.0,0.0,158.19725811131048,1.0,136.0013297336097,20.074584681551244
22.0,32.0,Male,India,Premium,14.429655357124304,6.0,30.0,0.0,16.0,75.30807207337159,0.0,0.0,268.5880904014656,1.0,223.18510102262127,177.3307597923252
,62.0,Female,Germany,Basic,11.12764668179741,12.0,32.0,3.0,12.0,60.098251121840065,1.0,1.0,,1.0,149.44432568352906,14.128449376990218
24.0,64.0,Female,Canada,Premium,,1.0,33.0,3.0,13.0,40.21220191646619,0.0,,214.8771307544616,0.0,154.40838194187515,221.0166037098345
,29.0,Female,Germany,Premium,13.118277941970158,12.0,6.0,0.0,14.0,18.62215507587196,1.0,0.0,169.45631234374866,0.0,140.62541485691972,239.54533596443065
26.0,36.0,Female,Germany,Standard,17.88224898382328,12.0,36.0,,36.0,88.80732223616192,,,79.30268835883632,0.0,70.19314237530301,255.11424484641185
27.0,23.0,Female,UK,Standard,6.710070487608566,6.0,2.0,3.0,33.0,31.265596801333228,0.0,0.0,,0.0,158.24145977330915,15.456893638296066
28.0,38.0,Female,Germany,Basic,16.275080596778455,6.0,7.0,4.0,8.0,21.34405435394291,0.0,1.0,,0.0,189.39051674029935,213.47866420607343
29.0,28.0,Male,US,,,12.0,,1.0,12.0,26.42488732931829,0.0,0.0,63.126976332730635,0.0,48.474207674979986,745.0447158358847
30.0,32.0,Female,Canada,Standard,13.48562482444972,6.0,30.0,2.0,12.0,54.621287608793246,0.0,1.0,204.56585297310784,0.0,170.6807420183959,74.78784341249124
31.0,28.0,Female,US,Basic,,6.0,46.0,5.0,5.0,1.3701088908491754,0.0,0.0,116.39240653839497,0.0,84.33639171341405,148.34603767503754
32.0,53.0,Male,Canada,Basic,3.5047987439740393,12.0,55.0,4.0,2.0,77.55336826160992,0.0,1.0,328.3008649943672,1.0,265.93808118686417,162.53254555127396
,34.0,Female,US,Standard,34.65450772900171,24.0,26.0,2.0,34.0,79.22041151510453,0.0,1.0,289.6743230963666,1.0,255.11864016881745,341.7125495590694
34.0,24.0,Male,UK,Basic,92.25254673328966,6.0,25.0,1.0,29.0,87.56846851712268,0.0,0.0,84.38821523412823,1.0,,1106.3218871741185
35.0,43.0,Female,UK,Standard,3.0414913699943047,12.0,33.0,3.0,6.0,81.70558490200072,1.0,0.0,175.86488292365323,0.0,144.87471317645753,-0.4877541213407426
36.0,22.0,Female,Canada,,39.07990991091623,6.0,42.0,6.0,4.0,8.813609551189995,0.0,0.0,250.43893289492522,0.0,182.47844077334813,309.01770842227563
37.0,37.0,Male,Germany,Basic,52.5796009808989,1.0,6.0,,31.0,52.974927946005266,0.0,,249.72116307312572,0.0,207.07116960414902,629.0809690547945
38.0,15.0,,US,Basic,44.881012846675745,1.0,8.0,4.0,27.0,16.798506908961784,0.0,0.0,196.53635365817604,0.0,153.09289246413329,490.0571082492317
39.0,21.0,Male,India,Premium,105.0325249245656,1.0,9.0,1.0,25.0,10.43303921616998,0.0,0.0,,1.0,181.73416452086443,1206.0668618893096
40.0,36.0,Female,US,Premium,100.64359680777828,1.0,11.0,1.0,28.0,0.36887612243197143,0.0,0.0,216.17736993136918,0.0,180.33560548111956,1371.2157001328856
41.0,42.0,Male,US,Basic,2.950761731825141,6.0,24.0,1.0,22.0,3.0575617530837484,0.0,0.0,176.9252076390747,1.0,150.6703305089102,-129.03295443831126
42.0,36.0,Male,US,Basic,22.388157167638195,1.0,6.0,2.0,17.0,35.21849717518655,0.0,0.0,151.15521182627978,1.0,110.68149313885968,193.59334130217357
43.0,33.0,Male,US,Premium,55.5590214702888,12.0,40.0,1.0,1.0,1.8257535518169998,0.0,0.0,204.74330570701758,1.0,174.0823090672747,744.572535153228
44.0,31.0,Male,India,Basic,152.29305493367303,24.0,56.0,3.0,16.0,42.83631649894824,0.0,0.0,214.41938429836097,0.0,157.39490283431496,1886.8086155568144
,20.0,Female,Canada,Basic,81.65702984934225,6.0,16.0,1.0,18.0,13.25799255537239,0.0,1.0,263.8455806028559,1.0,218.77893769305254,1132.6377530832904
46.0,27.0,Female,Canada,Basic,,6.0,17.0,2.0,21.0,82.42714251423389,0.0,0.0,278.4936455234561,0.0,234.6125019661538,63.22162083952124
,30.0,Male,US,Standard,16.370291689442052,6.0,24.0,1.0,21.0,38.20602863135463,0.0,0.0,156.01688954288664,0.0,117.19104654130184,202.81171526539293
48.0,45.0,Male,US,Basic,72.11020180943439,12.0,7.0,1.0,35.0,63.95546193058823,0.0,0.0,222.6110276357045,1.0,182.4875640156512,874.1100979173694
49.0,38.0,Male,US,Basic,31.883244106600696,12.0,40.0,4.0,34.0,,0.0,0.0,181.28373411112577,0.0,141.01524284582763,479.6925104056074
50.0,17.0,Female,US,Standard,39.62655094522864,6.0,,2.0,12.0,45.74710754498662,0.0,0.0,209.46144193377026,0.0,184.4822318549513,387.5249600117453
51.0,38.0,Female,US,Basic,46.94980547623724,6.0,58.0,2.0,13.0,47.38607658078083,1.0,0.0,,1.0,178.46206703273305,494.0882064442286
52.0,31.0,Male,US,Standard,5.451223081755321,12.0,27.0,4.0,18.0,27.930824462851533,0.0,0.0,160.5450285006449,0.0,126.20889931330933,91.89152426200448
